seed,setting,model,span_rank,benchmark_mae,deployment_residual,certified_fraction
3039,structured,A,3,0.03078302986404157,0.7860087160148986,0.05
3039,structured,B,4,0.05477195568285468,0.6769474979598578,0.2
3039,structured,C,6,0.08936031433359004,0.5885095807386183,0.36
3039,structured,D,7,0.12472942264180217,0.3359032909382837,0.93
3039,structured,E,8,0.17386602054506234,0.1322632833446748,1.0
4039,null_equal_noise,A,3,0.08586935875937965,0.7765052401513224,0.07
4039,null_equal_noise,B,4,0.07779529849759186,0.7184821498875961,0.16
4039,null_equal_noise,C,6,0.07720221060244793,0.5072927297600417,0.7
4039,null_equal_noise,D,7,0.0814738349220689,0.24878825245896732,1.0
4039,null_equal_noise,E,8,0.08167487636169286,0.10639521577639974,1.0
